n,tempo_segundos
724000,0.065000
725000,0.066000
726000,0.067000
727000,0.066000
728000,0.065000
729000,0.065000
730000,0.064000
731000,0.063000
732000,0.065000
733000,0.068000
734000,0.064000
735000,0.071000
736000,0.067000
737000,0.067000
738000,0.064000
739000,0.066000
740000,0.066000
741000,0.065000
742000,0.066000
743000,0.067000
744000,0.064000
745000,0.070000
746000,0.065000
747000,0.071000
748000,0.072000
749000,0.067000
750000,0.067000
751000,0.065000
752000,0.066000
753000,0.066000
754000,0.066000
755000,0.065000
756000,0.071000
757000,0.070000
758000,0.066000
759000,0.065000
760000,0.068000
761000,0.069000
762000,0.069000
763000,0.067000
764000,0.070000
765000,0.065000
766000,0.068000
767000,0.068000
768000,0.068000
769000,0.068000
770000,0.067000
771000,0.067000
772000,0.067000
773000,0.068000
774000,0.067000
775000,0.067000
776000,0.070000
777000,0.070000
778000,0.069000
779000,0.070000
780000,0.070000
781000,0.069000
782000,0.072000
783000,0.071000
784000,0.068000
785000,0.070000
786000,0.070000
787000,0.069000
788000,0.067000
789000,0.070000
790000,0.072000
791000,0.070000
792000,0.072000
793000,0.071000
794000,0.071000
795000,0.073000
796000,0.070000
797000,0.071000
798000,0.069000
799000,0.069000
800000,0.071000
801000,0.071000
802000,0.069000
803000,0.072000
804000,0.072000
805000,0.070000
806000,0.073000
807000,0.073000
808000,0.077000
809000,0.072000
810000,0.070000
811000,0.072000
812000,0.072000
813000,0.071000
814000,0.070000
815000,0.075000
816000,0.074000
817000,0.075000
818000,0.073000
819000,0.072000
820000,0.075000
821000,0.077000
822000,0.074000
823000,0.070000
824000,0.072000
825000,0.071000
826000,0.072000
827000,0.072000
828000,0.072000
829000,0.072000
830000,0.071000
831000,0.074000
832000,0.075000
833000,0.071000
834000,0.073000
835000,0.074000
836000,0.077000
837000,0.075000
838000,0.074000
839000,0.075000
840000,0.074000
841000,0.076000
842000,0.073000
843000,0.074000
844000,0.074000
845000,0.074000
846000,0.076000
847000,0.081000
848000,0.081000
849000,0.076000
850000,0.075000
851000,0.077000
852000,0.077000
853000,0.073000
854000,0.077000
855000,0.078000
856000,0.078000
857000,0.077000
858000,0.080000
859000,0.079000
860000,0.076000
861000,0.076000
862000,0.078000
863000,0.075000
864000,0.074000
865000,0.075000
866000,0.076000
867000,0.078000
868000,0.079000
869000,0.076000
870000,0.076000
871000,0.076000
872000,0.076000
873000,0.078000
874000,0.079000
875000,0.084000
876000,0.080000
877000,0.079000
878000,0.078000
879000,0.075000
880000,0.078000
881000,0.077000
882000,0.075000
883000,0.075000
884000,0.077000
885000,0.077000
886000,0.076000
887000,0.077000
888000,0.076000
889000,0.078000
890000,0.078000
891000,0.077000
892000,0.078000
893000,0.080000
894000,0.081000
895000,0.080000
896000,0.077000
897000,0.085000
898000,0.080000
899000,0.078000
900000,0.079000
901000,0.078000
902000,0.078000
903000,0.079000
904000,0.079000
905000,0.080000
906000,0.078000
907000,0.077000
908000,0.080000
909000,0.082000
910000,0.081000
911000,0.082000
912000,0.081000
913000,0.079000
914000,0.080000
915000,0.079000
916000,0.080000
917000,0.082000
918000,0.080000
919000,0.081000
920000,0.081000
921000,0.080000
922000,0.081000
923000,0.082000
924000,0.082000
925000,0.081000
926000,0.081000
927000,0.082000
928000,0.080000
929000,0.080000
930000,0.080000
931000,0.081000
932000,0.082000
933000,0.080000
934000,0.082000
935000,0.080000
936000,0.081000
937000,0.080000
938000,0.083000
939000,0.082000
940000,0.082000
941000,0.084000
942000,0.088000
943000,0.080000
944000,0.083000
945000,0.084000
946000,0.082000
947000,0.081000
948000,0.082000
949000,0.083000
950000,0.083000
951000,0.081000
952000,0.082000
953000,0.084000
954000,0.082000
955000,0.084000
956000,0.082000
957000,0.085000
958000,0.082000
959000,0.082000
960000,0.084000
961000,0.087000
962000,0.083000
963000,0.084000
964000,0.085000
965000,0.083000
966000,0.085000
967000,0.084000
968000,0.084000
969000,0.085000
970000,0.082000
971000,0.082000
972000,0.084000
973000,0.085000
974000,0.085000
975000,0.084000
976000,0.084000
977000,0.085000
978000,0.084000
979000,0.086000
980000,0.086000
981000,0.084000
982000,0.084000
983000,0.088000
984000,0.086000
985000,0.088000
986000,0.088000
987000,0.089000
988000,0.086000
989000,0.083000
990000,0.087000
991000,0.087000
992000,0.087000
993000,0.084000
994000,0.086000
995000,0.086000
996000,0.087000
997000,0.088000
998000,0.087000
999000,0.084000
1000000,0.087000
